origin,sector,model,observed_defaulted,observed_obligors,observed_rate,predicted_rate,log_score
2020-01-31,Healthcare,B3 = Two-factor dynamic common-eps model,60,22301,0.002690462311107125,0.0025759681927566775,-3.022220741687086
2020-01-31,Technology,B3 = Two-factor dynamic common-eps model,51,23763,0.0021461936624163616,0.0028503696222418606,-5.153258952989631
2020-01-31,Utilities,B3 = Two-factor dynamic common-eps model,51,24943,0.0020446618289700516,0.002379692365259458,-3.504852351927674
2020-07-31,Basic Materials,B0 = Binomial-best static baseline,83,18037,0.0046016521594500195,0.003232139857123872,-7.763633051424982
2020-07-31,Basic Materials,B1 = Beta-Binomial-best static baseline,83,18037,0.0046016521594500195,0.003232139857123872,-4.856665740256062
2020-07-31,Capital Goods,B0 = Binomial-best static baseline,96,18367,0.005226765394457451,0.004015074475085242,-6.276501380508961
2020-07-31,Capital Goods,B1 = Beta-Binomial-best static baseline,96,18367,0.005226765394457451,0.004015074475085242,-4.814805328938746
2020-07-31,Consumer,B0 = Binomial-best static baseline,75,19974,0.0037548813457494745,0.0026744273908991616,-6.956723642631651
2020-07-31,Consumer,B1 = Beta-Binomial-best static baseline,75,19974,0.0037548813457494745,0.0026744273908991616,-4.713775432515547
2020-07-31,Energy,B0 = Binomial-best static baseline,131,20362,0.006433552696198802,0.004811500079201648,-8.410500001092018
2020-07-31,Energy,B1 = Beta-Binomial-best static baseline,131,20362,0.006433552696198802,0.004811500079201648,-5.44003101437238
2020-07-31,Finance,B0 = Binomial-best static baseline,186,21344,0.008714392803598201,0.005419624075743532,-21.661566175521784
2020-07-31,Finance,B1 = Beta-Binomial-best static baseline,186,21344,0.008714392803598201,0.005419624075743531,-6.02291637710573
2020-07-31,Healthcare,B0 = Binomial-best static baseline,53,22950,0.002309368191721133,0.0022834960324256436,-2.907859557875973
2020-07-31,Healthcare,B1 = Beta-Binomial-best static baseline,53,22950,0.002309368191721133,0.0022834960324256436,-4.095231798306145
2020-07-31,Technology,B0 = Binomial-best static baseline,70,24237,0.002888146222717333,0.0026324209832023666,-3.3354756464237667
2020-07-31,Technology,B1 = Beta-Binomial-best static baseline,70,24237,0.002888146222717333,0.0026324209832023666,-4.371460930259559
2020-07-31,Utilities,B0 = Binomial-best static baseline,60,25703,0.002334357857059487,0.0021919230383046604,-3.0830455649021573
2020-07-31,Utilities,B1 = Beta-Binomial-best static baseline,60,25703,0.002334357857059487,0.00219192303830466,-3.8758543894251147
2020-07-31,Basic Materials,B2 = One-factor dynamic common-eps model,83,18037,0.0046016521594500195,0.0036935188778621725,-5.0008935146776
2020-07-31,Capital Goods,B2 = One-factor dynamic common-eps model,96,18367,0.005226765394457451,0.004443658009836482,-4.403896995137131
2020-07-31,Consumer,B2 = One-factor dynamic common-eps model,75,19974,0.0037548813457494745,0.00292930810053069,-5.215524000466949
2020-07-31,Energy,B2 = One-factor dynamic common-eps model,131,20362,0.006433552696198802,0.00539632649052156,-5.27587106857564
2020-07-31,Finance,B2 = One-factor dynamic common-eps model,186,21344,0.008714392803598201,0.006051193153423289,-14.59879148987386
2020-07-31,Healthcare,B2 = One-factor dynamic common-eps model,53,22950,0.002309368191721133,0.0025249092229484385,-3.1224517821551814
2020-07-31,Technology,B2 = One-factor dynamic common-eps model,70,24237,0.002888146222717333,0.002932293600693155,-3.051049622509737
2020-07-31,Utilities,B2 = One-factor dynamic common-eps model,60,25703,0.002334357857059487,0.0024259165596752646,-3.011418273660645
2020-07-31,Basic Materials,B3 = Two-factor dynamic common-eps model,83,18037,0.0046016521594500195,0.0037267838332316902,-4.856179491190446
2020-07-31,Capital Goods,B3 = Two-factor dynamic common-eps model,96,18367,0.005226765394457451,0.004466706593346763,-4.330251632407297
2020-07-31,Consumer,B3 = Two-factor dynamic common-eps model,75,19974,0.0037548813457494745,0.002879743666766797,-5.506240783525691
2020-07-31,Energy,B3 = Two-factor dynamic common-eps model,131,20362,0.006433552696198802,0.005484726451232689,-4.94548395460788
2020-07-31,Finance,B3 = Two-factor dynamic common-eps model,186,21344,0.008714392803598201,0.005925006246876562,-15.83255836858028
2020-07-31,Healthcare,B3 = Two-factor dynamic common-eps model,53,22950,0.002309368191721133,0.002554103122730574,-3.1833171497136448
2020-07-31,Technology,B3 = Two-factor dynamic common-eps model,70,24237,0.002888146222717333,0.0029827673942044533,-3.079805410135748
2020-07-31,Utilities,B3 = Two-factor dynamic common-eps model,60,25703,0.002334357857059487,0.0023898636994384576,-2.9830681588391315
2021-01-31,Basic Materials,B0 = Binomial-best static baseline,82,17539,0.004675295056730714,0.0032417095055841693,-8.023104013773775
2021-01-31,Basic Materials,B1 = Beta-Binomial-best static baseline,82,17539,0.004675295056730714,0.0032417095055841693,-4.882478052614715
2021-01-31,Capital Goods,B0 = Binomial-best static baseline,90,18169,0.004953492212009467,0.004030700738025518,-4.962590237937718
2021-01-31,Capital Goods,B1 = Beta-Binomial-best static baseline,90,18169,0.004953492212009467,0.004030700738025518,-4.644193895682747
2021-01-31,Consumer,B0 = Binomial-best static baseline,79,20055,0.00393916728995263,0.0026825499899236437,-8.26908771919765
2021-01-31,Consumer,B1 = Beta-Binomial-best static baseline,79,20055,0.00393916728995263,0.002682549989923644,-4.926372475224639
2021-01-31,Energy,B0 = Binomial-best static baseline,141,20546,0.006862649664168208,0.004827434809183963,-11.218481538555423
2021-01-31,Energy,B1 = Beta-Binomial-best static baseline,141,20546,0.006862649664168208,0.004827434809183963,-5.566705077083952
2021-01-31,Finance,B0 = Binomial-best static baseline,206,21967,0.009377702918013384,0.005436818457450221,-29.479904346691953
2021-01-31,Finance,B1 = Beta-Binomial-best static baseline,206,21967,0.009377702918013384,0.005436818457450221,-6.3821423785534535
2021-01-31,Healthcare,B0 = Binomial-best static baseline,56,23480,0.002385008517887564,0.0022832505837630203,-2.9844982076614386
2021-01-31,Healthcare,B1 = Beta-Binomial-best static baseline,56,23480,0.002385008517887564,0.00228325058376302,-4.13294372069214
2021-01-31,Technology,B0 = Binomial-best static baseline,95,24818,0.0038278668708195663,0.0026192265803561842,-9.262702847156675
2021-01-31,Technology,B1 = Beta-Binomial-best static baseline,95,24818,0.0038278668708195663,0.0026192265803561842,-5.080187034333903
2021-01-31,Utilities,B0 = Binomial-best static baseline,66,26539,0.002486906062775538,0.002192609149378668,-3.517102598381065
2021-01-31,Utilities,B1 = Beta-Binomial-best static baseline,66,26539,0.002486906062775538,0.002192609149378668,-4.01651104946626
2021-01-31,Basic Materials,B2 = One-factor dynamic common-eps model,82,17539,0.004675295056730714,0.0036657354087082125,-5.37086929160148
2021-01-31,Capital Goods,B2 = One-factor dynamic common-eps model,90,18169,0.004953492212009467,0.004537215403526152,-3.505676066479083
2021-01-31,Consumer,B2 = One-factor dynamic common-eps model,79,20055,0.00393916728995263,0.002990775367738718,-5.851290634247832
2021-01-31,Energy,B2 = One-factor dynamic common-eps model,141,20546,0.006862649664168208,0.005281644440118109,-7.854674056167951
2021-01-31,Finance,B2 = One-factor dynamic common-eps model,206,21967,0.009377702918013384,0.005987617790321847,-21.655793510459773
2021-01-31,Healthcare,B2 = One-factor dynamic common-eps model,56,23480,0.002385008517887564,0.0024910562180579217,-2.9858108039945037
2021-01-31,Technology,B2 = One-factor dynamic common-eps model,95,24818,0.0038278668708195663,0.002843366373868429,-7.018874025926621
2021-01-31,Utilities,B2 = One-factor dynamic common-eps model,66,26539,0.002486906062775538,0.0025023550246806585,-3.0150549371316657
2021-01-31,Basic Materials,B3 = Two-factor dynamic common-eps model,82,17539,0.004675295056730714,0.0036153714578938366,-5.622871453966006
2021-01-31,Capital Goods,B3 = Two-factor dynamic common-eps model,90,18169,0.004953492212009467,0.0044397967233566335,-3.689942385632321
2021-01-31,Consumer,B3 = Two-factor dynamic common-eps model,79,20055,0.00393916728995263,0.002901520817751184,-6.456588107212191
2021-01-31,Energy,B3 = Two-factor dynamic common-eps model,141,20546,0.006862649664168208,0.0052769395502774265,-7.883820062477241
2021-01-31,Finance,B3 = Two-factor dynamic common-eps model,206,21967,0.009377702918013384,0.005912201635787014,-22.615960818920087
2021-01-31,Healthcare,B3 = Two-factor dynamic common-eps model,56,23480,0.002385008517887564,0.002646933560477002,-3.247564899855604
2021-01-31,Technology,B3 = Two-factor dynamic common-eps model,95,24818,0.0038278668708195663,0.0030432213178606927,-5.521322604615108
2021-01-31,Utilities,B3 = Two-factor dynamic common-eps model,66,26539,0.002486906062775538,0.0024209653717170957,-3.0374605708705076
2021-07-31,Basic Materials,B0 = Binomial-best static baseline,67,17547,0.0038183165213426795,0.0032913991805087754,-3.726531699917011
2021-07-31,Basic Materials,B1 = Beta-Binomial-best static baseline,67,17547,0.0038183165213426795,0.0032913991805087754,-4.272757503377761
2021-07-31,Capital Goods,B0 = Binomial-best static baseline,70,18390,0.0038064165307232192,0.004066084182153237,-3.1989252970410575
2021-07-31,Capital Goods,B1 = Beta-Binomial-best static baseline,70,18390,0.0038064165307232192,0.004066084182153237,-4.267810694223442
2021-07-31,Consumer,B0 = Binomial-best static baseline,62,19954,0.003107146436804651,0.00272168126769476,-3.504415891420777
2021-07-31,Consumer,B1 = Beta-Binomial-best static baseline,62,19954,0.003107146436804651,0.00272168126769476,-4.0629104184639
2021-07-31,Energy,B0 = Binomial-best static baseline,129,21113,0.006109979633401222,0.004881048140863933,-6.384710135196698
2021-07-31,Energy,B1 = Beta-Binomial-best static baseline,129,21113,0.006109979633401222,0.004881048140863933,-5.344341005239812
2021-07-31,Finance,B0 = Binomial-best static baseline,158,22465,0.007033162697529491,0.005562012286236095,-7.501189921333591
2021-07-31,Finance,B1 = Beta-Binomial-best static baseline,158,22465,0.007033162697529491,0.005562012286236094,-5.33905314074218
2021-07-31,Healthcare,B0 = Binomial-best static baseline,64,24146,0.002650542532924708,0.0022846525107805215,-3.6724210519153146
2021-07-31,Healthcare,B1 = Beta-Binomial-best static baseline,64,24146,0.002650542532924708,0.0022846525107805215,-4.308185789763343
2021-07-31,Technology,B0 = Binomial-best static baseline,93,25418,0.0036588244551105514,0.002644035273791633,-7.613232059951102
2021-07-31,Technology,B1 = Beta-Binomial-best static baseline,93,25418,0.0036588244551105514,0.002644035273791633,-4.937535254331465
2021-07-31,Utilities,B0 = Binomial-best static baseline,61,27139,0.0022476878293231145,0.002198536717550357,-2.9894500938466564
2021-07-31,Utilities,B1 = Beta-Binomial-best static baseline,61,27139,0.0022476878293231145,0.002198536717550357,-3.8413561316822893
2021-07-31,Basic Materials,B2 = One-factor dynamic common-eps model,67,17547,0.0038183165213426795,0.0038283847191352745,-3.020849223409698
2021-07-31,Capital Goods,B2 = One-factor dynamic common-eps model,70,18390,0.0038064165307232192,0.004777596519847743,-5.003723482424846
2021-07-31,Consumer,B2 = One-factor dynamic common-eps model,62,19954,0.003107146436804651,0.0030256256055594534,-3.0040801406239837
2021-07-31,Energy,B2 = One-factor dynamic common-eps model,129,21113,0.006109979633401222,0.005564028481662167,-3.8974594571146923
